"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"1","2015/16","E23000036","Avon and Somerset","South West","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," 8 "
"2","2015/16","E23000036","Avon and Somerset","South West","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," 5 "
"3","2015/16","E23000036","Avon and Somerset","South West","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 78 "
"4","2015/16","E23000036","Avon and Somerset","South West","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"5","2015/16","E23000036","Avon and Somerset","South West","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"6","2015/16","E23000036","Avon and Somerset","South West","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 110 "
"7","2015/16","E23000036","Avon and Somerset","South West","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 143 "
"8","2015/16","E23000036","Avon and Somerset","South West","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 997 "
"9","2015/16","E23000036","Avon and Somerset","South West","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"10","2015/16","E23000036","Avon and Somerset","South West","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"11","2015/16","E23000026","Bedfordshire","Eastern","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," 1 "
"12","2015/16","E23000026","Bedfordshire","Eastern","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"13","2015/16","E23000026","Bedfordshire","Eastern","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 10 "
"14","2015/16","E23000026","Bedfordshire","Eastern","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"15","2015/16","E23000026","Bedfordshire","Eastern","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"16","2015/16","E23000026","Bedfordshire","Eastern","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 17 "
"17","2015/16","E23000026","Bedfordshire","Eastern","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 21 "
"18","2015/16","E23000026","Bedfordshire","Eastern","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 245 "
"19","2015/16","E23000026","Bedfordshire","Eastern","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"20","2015/16","E23000026","Bedfordshire","Eastern","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"21","2015/16","E23000023","Cambridgeshire","Eastern","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," 1 "
"22","2015/16","E23000023","Cambridgeshire","Eastern","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," 1 "
"23","2015/16","E23000023","Cambridgeshire","Eastern","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 17 "
"24","2015/16","E23000023","Cambridgeshire","Eastern","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"25","2015/16","E23000023","Cambridgeshire","Eastern","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"26","2015/16","E23000023","Cambridgeshire","Eastern","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 43 "
"27","2015/16","E23000023","Cambridgeshire","Eastern","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 65 "
"28","2015/16","E23000023","Cambridgeshire","Eastern","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 384 "
"29","2015/16","E23000023","Cambridgeshire","Eastern","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"30","2015/16","E23000023","Cambridgeshire","Eastern","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"31","2015/16","E23000006","Cheshire","North West","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"32","2015/16","E23000006","Cheshire","North West","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"33","2015/16","E23000006","Cheshire","North West","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 6 "
"34","2015/16","E23000006","Cheshire","North West","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"35","2015/16","E23000006","Cheshire","North West","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"36","2015/16","E23000006","Cheshire","North West","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 50 "
"37","2015/16","E23000006","Cheshire","North West","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 62 "
"38","2015/16","E23000006","Cheshire","North West","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 397 "
"39","2015/16","E23000006","Cheshire","North West","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"40","2015/16","E23000006","Cheshire","North West","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"41","2015/16","E23000013","Cleveland","North East","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"42","2015/16","E23000013","Cleveland","North East","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," 2 "
"43","2015/16","E23000013","Cleveland","North East","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 7 "
"44","2015/16","E23000013","Cleveland","North East","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"45","2015/16","E23000013","Cleveland","North East","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"46","2015/16","E23000013","Cleveland","North East","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 30 "
"47","2015/16","E23000013","Cleveland","North East","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 33 "
"48","2015/16","E23000013","Cleveland","North East","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 233 "
"49","2015/16","E23000013","Cleveland","North East","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"50","2015/16","E23000013","Cleveland","North East","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"51","2015/16","E23000002","Cumbria","North West","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," 1 "
"52","2015/16","E23000002","Cumbria","North West","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," 1 "
"53","2015/16","E23000002","Cumbria","North West","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 18 "
"54","2015/16","E23000002","Cumbria","North West","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"55","2015/16","E23000002","Cumbria","North West","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"56","2015/16","E23000002","Cumbria","North West","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 39 "
"57","2015/16","E23000002","Cumbria","North West","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 35 "
"58","2015/16","E23000002","Cumbria","North West","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 261 "
"59","2015/16","E23000002","Cumbria","North West","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"60","2015/16","E23000002","Cumbria","North West","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"61","2015/16","E23000018","Derbyshire","East Midlands","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," 1 "
"62","2015/16","E23000018","Derbyshire","East Midlands","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," 1 "
"63","2015/16","E23000018","Derbyshire","East Midlands","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 26 "
"64","2015/16","E23000018","Derbyshire","East Midlands","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"65","2015/16","E23000018","Derbyshire","East Midlands","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"66","2015/16","E23000018","Derbyshire","East Midlands","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 69 "
"67","2015/16","E23000018","Derbyshire","East Midlands","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 81 "
"68","2015/16","E23000018","Derbyshire","East Midlands","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 642 "
"69","2015/16","E23000018","Derbyshire","East Midlands","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
