"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"908","2017/18","E23000013","Cleveland","North East","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 223 "
"909","2017/18","E23000013","Cleveland","North East","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"910","2017/18","E23000013","Cleveland","North East","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"911","2017/18","E23000002","Cumbria","North West","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," 1 "
"912","2017/18","E23000002","Cumbria","North West","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," 1 "
"913","2017/18","E23000002","Cumbria","North West","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 5 "
"914","2017/18","E23000002","Cumbria","North West","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"915","2017/18","E23000002","Cumbria","North West","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"916","2017/18","E23000002","Cumbria","North West","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 52 "
"917","2017/18","E23000002","Cumbria","North West","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 53 "
"918","2017/18","E23000002","Cumbria","North West","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 288 "
"919","2017/18","E23000002","Cumbria","North West","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"920","2017/18","E23000002","Cumbria","North West","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"921","2017/18","E23000018","Derbyshire","East Midlands","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," 1 "
"922","2017/18","E23000018","Derbyshire","East Midlands","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," 3 "
"923","2017/18","E23000018","Derbyshire","East Midlands","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 7 "
"924","2017/18","E23000018","Derbyshire","East Midlands","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"925","2017/18","E23000018","Derbyshire","East Midlands","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"926","2017/18","E23000018","Derbyshire","East Midlands","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 40 "
"927","2017/18","E23000018","Derbyshire","East Midlands","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 57 "
"928","2017/18","E23000018","Derbyshire","East Midlands","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 308 "
"929","2017/18","E23000018","Derbyshire","East Midlands","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"930","2017/18","E23000018","Derbyshire","East Midlands","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"931","2017/18","E23000035","Devon and Cornwall","South West","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"932","2017/18","E23000035","Devon and Cornwall","South West","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"933","2017/18","E23000035","Devon and Cornwall","South West","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 10 "
"934","2017/18","E23000035","Devon and Cornwall","South West","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"935","2017/18","E23000035","Devon and Cornwall","South West","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"936","2017/18","E23000035","Devon and Cornwall","South West","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 29 "
"937","2017/18","E23000035","Devon and Cornwall","South West","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 45 "
"938","2017/18","E23000035","Devon and Cornwall","South West","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 385 "
"939","2017/18","E23000035","Devon and Cornwall","South West","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"940","2017/18","E23000035","Devon and Cornwall","South West","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"941","2017/18","E23000039","Dorset","South West","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"942","2017/18","E23000039","Dorset","South West","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"943","2017/18","E23000039","Dorset","South West","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 5 "
"944","2017/18","E23000039","Dorset","South West","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"945","2017/18","E23000039","Dorset","South West","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"946","2017/18","E23000039","Dorset","South West","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 19 "
"947","2017/18","E23000039","Dorset","South West","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 43 "
"948","2017/18","E23000039","Dorset","South West","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 212 "
"949","2017/18","E23000039","Dorset","South West","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"950","2017/18","E23000039","Dorset","South West","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"951","2017/18","E23000008","Durham","North East","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," 1 "
