"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"1721","2019/20","E23000036","Avon and Somerset","South West","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," 1 "
"1722","2019/20","E23000036","Avon and Somerset","South West","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," 1 "
"1723","2019/20","E23000036","Avon and Somerset","South West","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 8 "
"1724","2019/20","E23000036","Avon and Somerset","South West","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1725","2019/20","E23000036","Avon and Somerset","South West","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"1726","2019/20","E23000036","Avon and Somerset","South West","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 25 "
"1727","2019/20","E23000036","Avon and Somerset","South West","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 42 "
"1728","2019/20","E23000036","Avon and Somerset","South West","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 393 "
"1729","2019/20","E23000036","Avon and Somerset","South West","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1730","2019/20","E23000036","Avon and Somerset","South West","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"1731","2019/20","E23000026","Bedfordshire","Eastern","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1732","2019/20","E23000026","Bedfordshire","Eastern","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1733","2019/20","E23000026","Bedfordshire","Eastern","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 2 "
"1734","2019/20","E23000026","Bedfordshire","Eastern","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1735","2019/20","E23000026","Bedfordshire","Eastern","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"1736","2019/20","E23000026","Bedfordshire","Eastern","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 12 "
"1737","2019/20","E23000026","Bedfordshire","Eastern","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 10 "
"1738","2019/20","E23000026","Bedfordshire","Eastern","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 139 "
"1739","2019/20","E23000026","Bedfordshire","Eastern","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1740","2019/20","E23000026","Bedfordshire","Eastern","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"1741","2019/20","E23000023","Cambridgeshire","Eastern","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," - "
