"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"1291","2018/19","E23000036","Avon and Somerset","South West","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1292","2018/19","E23000036","Avon and Somerset","South West","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1293","2018/19","E23000036","Avon and Somerset","South West","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 4 "
"1294","2018/19","E23000036","Avon and Somerset","South West","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1295","2018/19","E23000036","Avon and Somerset","South West","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"1296","2018/19","E23000036","Avon and Somerset","South West","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 23 "
"1297","2018/19","E23000036","Avon and Somerset","South West","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 64 "
"1298","2018/19","E23000036","Avon and Somerset","South West","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 421 "
"1299","2018/19","E23000036","Avon and Somerset","South West","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1300","2018/19","E23000036","Avon and Somerset","South West","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"1301","2018/19","E23000026","Bedfordshire","Eastern","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," 1 "
"1302","2018/19","E23000026","Bedfordshire","Eastern","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1303","2018/19","E23000026","Bedfordshire","Eastern","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 2 "
"1304","2018/19","E23000026","Bedfordshire","Eastern","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1305","2018/19","E23000026","Bedfordshire","Eastern","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"1306","2018/19","E23000026","Bedfordshire","Eastern","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 7 "
"1307","2018/19","E23000026","Bedfordshire","Eastern","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 16 "
"1308","2018/19","E23000026","Bedfordshire","Eastern","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 126 "
"1309","2018/19","E23000026","Bedfordshire","Eastern","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1310","2018/19","E23000026","Bedfordshire","Eastern","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"1311","2018/19","E23000023","Cambridgeshire","Eastern","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1312","2018/19","E23000023","Cambridgeshire","Eastern","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1313","2018/19","E23000023","Cambridgeshire","Eastern","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 7 "
"1314","2018/19","E23000023","Cambridgeshire","Eastern","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1315","2018/19","E23000023","Cambridgeshire","Eastern","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"1316","2018/19","E23000023","Cambridgeshire","Eastern","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 17 "
"1317","2018/19","E23000023","Cambridgeshire","Eastern","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 26 "
"1318","2018/19","E23000023","Cambridgeshire","Eastern","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 250 "
"1319","2018/19","E23000023","Cambridgeshire","Eastern","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1320","2018/19","E23000023","Cambridgeshire","Eastern","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"1321","2018/19","E23000006","Cheshire","North West","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1322","2018/19","E23000006","Cheshire","North West","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," 2 "
"1323","2018/19","E23000006","Cheshire","North West","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 18 "
"1324","2018/19","E23000006","Cheshire","North West","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1325","2018/19","E23000006","Cheshire","North West","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"1326","2018/19","E23000006","Cheshire","North West","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 21 "
"1327","2018/19","E23000006","Cheshire","North West","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 32 "
"1328","2018/19","E23000006","Cheshire","North West","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 308 "
"1329","2018/19","E23000006","Cheshire","North West","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1330","2018/19","E23000006","Cheshire","North West","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"1331","2018/19","E23000013","Cleveland","North East","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1332","2018/19","E23000013","Cleveland","North East","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," 1 "
"1333","2018/19","E23000013","Cleveland","North East","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 2 "
"1334","2018/19","E23000013","Cleveland","North East","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1335","2018/19","E23000013","Cleveland","North East","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"1336","2018/19","E23000013","Cleveland","North East","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 19 "
"1337","2018/19","E23000013","Cleveland","North East","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 25 "
"1338","2018/19","E23000013","Cleveland","North East","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 179 "
"1339","2018/19","E23000013","Cleveland","North East","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1340","2018/19","E23000013","Cleveland","North East","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"1341","2018/19","E23000002","Cumbria","North West","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," 2 "
"1342","2018/19","E23000002","Cumbria","North West","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1343","2018/19","E23000002","Cumbria","North West","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 11 "
"1344","2018/19","E23000002","Cumbria","North West","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1345","2018/19","E23000002","Cumbria","North West","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"1346","2018/19","E23000002","Cumbria","North West","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 45 "
"1347","2018/19","E23000002","Cumbria","North West","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 35 "
"1348","2018/19","E23000002","Cumbria","North West","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 323 "
"1349","2018/19","E23000002","Cumbria","North West","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1350","2018/19","E23000002","Cumbria","North West","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"1351","2018/19","E23000018","Derbyshire","East Midlands","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," 1 "
"1352","2018/19","E23000018","Derbyshire","East Midlands","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," 1 "
"1353","2018/19","E23000018","Derbyshire","East Midlands","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 6 "
"1354","2018/19","E23000018","Derbyshire","East Midlands","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1355","2018/19","E23000018","Derbyshire","East Midlands","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"1356","2018/19","E23000018","Derbyshire","East Midlands","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 24 "
"1357","2018/19","E23000018","Derbyshire","East Midlands","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 41 "
"1358","2018/19","E23000018","Derbyshire","East Midlands","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 319 "
"1359","2018/19","E23000018","Derbyshire","East Midlands","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1360","2018/19","E23000018","Derbyshire","East Midlands","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"1361","2018/19","E23000035","Devon and Cornwall","South West","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1362","2018/19","E23000035","Devon and Cornwall","South West","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1363","2018/19","E23000035","Devon and Cornwall","South West","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 7 "
"1364","2018/19","E23000035","Devon and Cornwall","South West","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1365","2018/19","E23000035","Devon and Cornwall","South West","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"1366","2018/19","E23000035","Devon and Cornwall","South West","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 31 "
"1367","2018/19","E23000035","Devon and Cornwall","South West","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 45 "
"1368","2018/19","E23000035","Devon and Cornwall","South West","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 363 "
"1369","2018/19","E23000035","Devon and Cornwall","South West","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1370","2018/19","E23000035","Devon and Cornwall","South West","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"1371","2018/19","E23000039","Dorset","South West","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1372","2018/19","E23000039","Dorset","South West","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1373","2018/19","E23000039","Dorset","South West","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 8 "
"1374","2018/19","E23000039","Dorset","South West","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1375","2018/19","E23000039","Dorset","South West","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"1376","2018/19","E23000039","Dorset","South West","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 9 "
"1377","2018/19","E23000039","Dorset","South West","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 27 "
"1378","2018/19","E23000039","Dorset","South West","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 214 "
