"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"431","2016/17","E23000036","Avon and Somerset","South West","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"432","2016/17","E23000036","Avon and Somerset","South West","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"433","2016/17","E23000036","Avon and Somerset","South West","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 23 "
"434","2016/17","E23000036","Avon and Somerset","South West","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"435","2016/17","E23000036","Avon and Somerset","South West","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"436","2016/17","E23000036","Avon and Somerset","South West","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 46 "
"437","2016/17","E23000036","Avon and Somerset","South West","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 60 "
"438","2016/17","E23000036","Avon and Somerset","South West","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 595 "
"439","2016/17","E23000036","Avon and Somerset","South West","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"440","2016/17","E23000036","Avon and Somerset","South West","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"441","2016/17","E23000026","Bedfordshire","Eastern","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," 1 "
"442","2016/17","E23000026","Bedfordshire","Eastern","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," 1 "
"443","2016/17","E23000026","Bedfordshire","Eastern","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 13 "
"444","2016/17","E23000026","Bedfordshire","Eastern","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"445","2016/17","E23000026","Bedfordshire","Eastern","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"446","2016/17","E23000026","Bedfordshire","Eastern","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 23 "
"447","2016/17","E23000026","Bedfordshire","Eastern","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 15 "
"448","2016/17","E23000026","Bedfordshire","Eastern","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 266 "
"449","2016/17","E23000026","Bedfordshire","Eastern","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"450","2016/17","E23000026","Bedfordshire","Eastern","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"451","2016/17","E23000023","Cambridgeshire","Eastern","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," 3 "
"452","2016/17","E23000023","Cambridgeshire","Eastern","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," 2 "
"453","2016/17","E23000023","Cambridgeshire","Eastern","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 11 "
"454","2016/17","E23000023","Cambridgeshire","Eastern","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"455","2016/17","E23000023","Cambridgeshire","Eastern","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"456","2016/17","E23000023","Cambridgeshire","Eastern","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 59 "
"457","2016/17","E23000023","Cambridgeshire","Eastern","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 58 "
"458","2016/17","E23000023","Cambridgeshire","Eastern","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 419 "
"459","2016/17","E23000023","Cambridgeshire","Eastern","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"460","2016/17","E23000023","Cambridgeshire","Eastern","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"461","2016/17","E23000006","Cheshire","North West","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"462","2016/17","E23000006","Cheshire","North West","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"463","2016/17","E23000006","Cheshire","North West","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 3 "
"464","2016/17","E23000006","Cheshire","North West","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"465","2016/17","E23000006","Cheshire","North West","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"466","2016/17","E23000006","Cheshire","North West","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 19 "
"467","2016/17","E23000006","Cheshire","North West","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 51 "
"468","2016/17","E23000006","Cheshire","North West","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 363 "
"469","2016/17","E23000006","Cheshire","North West","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"470","2016/17","E23000006","Cheshire","North West","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"471","2016/17","E23000013","Cleveland","North East","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"472","2016/17","E23000013","Cleveland","North East","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," 5 "
"473","2016/17","E23000013","Cleveland","North East","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 11 "
"474","2016/17","E23000013","Cleveland","North East","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"475","2016/17","E23000013","Cleveland","North East","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"476","2016/17","E23000013","Cleveland","North East","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 21 "
"477","2016/17","E23000013","Cleveland","North East","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 23 "
"478","2016/17","E23000013","Cleveland","North East","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 219 "
"479","2016/17","E23000013","Cleveland","North East","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"480","2016/17","E23000013","Cleveland","North East","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"481","2016/17","E23000002","Cumbria","North West","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"482","2016/17","E23000002","Cumbria","North West","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"483","2016/17","E23000002","Cumbria","North West","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 2 "
"484","2016/17","E23000002","Cumbria","North West","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"485","2016/17","E23000002","Cumbria","North West","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"486","2016/17","E23000002","Cumbria","North West","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 43 "
