"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"473","2016/17","E23000013","Cleveland","North East","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," - "
"474","2016/17","E23000013","Cleveland","North East","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"475","2016/17","E23000013","Cleveland","North East","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"476","2016/17","E23000013","Cleveland","North East","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"477","2016/17","E23000013","Cleveland","North East","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," 2 "
"478","2016/17","E23000013","Cleveland","North East","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 19 "
"479","2016/17","E23000013","Cleveland","North East","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"480","2016/17","E23000013","Cleveland","North East","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"481","2016/17","E23000002","Cumbria","North West","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"482","2016/17","E23000002","Cumbria","North West","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"483","2016/17","E23000002","Cumbria","North West","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," - "
"484","2016/17","E23000002","Cumbria","North West","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"485","2016/17","E23000002","Cumbria","North West","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"486","2016/17","E23000002","Cumbria","North West","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"487","2016/17","E23000002","Cumbria","North West","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"488","2016/17","E23000002","Cumbria","North West","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 8 "
"489","2016/17","E23000002","Cumbria","North West","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"490","2016/17","E23000002","Cumbria","North West","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"491","2016/17","E23000018","Derbyshire","East Midlands","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"492","2016/17","E23000018","Derbyshire","East Midlands","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"493","2016/17","E23000018","Derbyshire","East Midlands","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," - "
"494","2016/17","E23000018","Derbyshire","East Midlands","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"495","2016/17","E23000018","Derbyshire","East Midlands","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"496","2016/17","E23000018","Derbyshire","East Midlands","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"497","2016/17","E23000018","Derbyshire","East Midlands","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," 4 "
"498","2016/17","E23000018","Derbyshire","East Midlands","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 28 "
"499","2016/17","E23000018","Derbyshire","East Midlands","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"500","2016/17","E23000018","Derbyshire","East Midlands","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"501","2016/17","E23000035","Devon and Cornwall","South West","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"502","2016/17","E23000035","Devon and Cornwall","South West","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"503","2016/17","E23000035","Devon and Cornwall","South West","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," - "
"504","2016/17","E23000035","Devon and Cornwall","South West","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"505","2016/17","E23000035","Devon and Cornwall","South West","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"506","2016/17","E23000035","Devon and Cornwall","South West","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"507","2016/17","E23000035","Devon and Cornwall","South West","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," 1 "
