"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"1","2015/16","E23000036","Avon and Somerset","South West","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"2","2015/16","E23000036","Avon and Somerset","South West","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"3","2015/16","E23000036","Avon and Somerset","South West","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 1 "
"4","2015/16","E23000036","Avon and Somerset","South West","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"5","2015/16","E23000036","Avon and Somerset","South West","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"6","2015/16","E23000036","Avon and Somerset","South West","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," 2 "
"7","2015/16","E23000036","Avon and Somerset","South West","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," 2 "
"8","2015/16","E23000036","Avon and Somerset","South West","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 44 "
"9","2015/16","E23000036","Avon and Somerset","South West","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"10","2015/16","E23000036","Avon and Somerset","South West","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"11","2015/16","E23000026","Bedfordshire","Eastern","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"12","2015/16","E23000026","Bedfordshire","Eastern","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"13","2015/16","E23000026","Bedfordshire","Eastern","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 1 "
"14","2015/16","E23000026","Bedfordshire","Eastern","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"15","2015/16","E23000026","Bedfordshire","Eastern","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"16","2015/16","E23000026","Bedfordshire","Eastern","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," 4 "
"17","2015/16","E23000026","Bedfordshire","Eastern","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," 1 "
"18","2015/16","E23000026","Bedfordshire","Eastern","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 74 "
"19","2015/16","E23000026","Bedfordshire","Eastern","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"20","2015/16","E23000026","Bedfordshire","Eastern","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," 1 "
"21","2015/16","E23000023","Cambridgeshire","Eastern","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"22","2015/16","E23000023","Cambridgeshire","Eastern","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"23","2015/16","E23000023","Cambridgeshire","Eastern","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 2 "
"24","2015/16","E23000023","Cambridgeshire","Eastern","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"25","2015/16","E23000023","Cambridgeshire","Eastern","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"26","2015/16","E23000023","Cambridgeshire","Eastern","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," 3 "
"27","2015/16","E23000023","Cambridgeshire","Eastern","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," 5 "
"28","2015/16","E23000023","Cambridgeshire","Eastern","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 37 "
"29","2015/16","E23000023","Cambridgeshire","Eastern","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"30","2015/16","E23000023","Cambridgeshire","Eastern","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"31","2015/16","E23000006","Cheshire","North West","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"32","2015/16","E23000006","Cheshire","North West","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"33","2015/16","E23000006","Cheshire","North West","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 1 "
"34","2015/16","E23000006","Cheshire","North West","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"35","2015/16","E23000006","Cheshire","North West","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"36","2015/16","E23000006","Cheshire","North West","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"37","2015/16","E23000006","Cheshire","North West","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"38","2015/16","E23000006","Cheshire","North West","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 11 "
"39","2015/16","E23000006","Cheshire","North West","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"40","2015/16","E23000006","Cheshire","North West","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"41","2015/16","E23000013","Cleveland","North East","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"42","2015/16","E23000013","Cleveland","North East","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"43","2015/16","E23000013","Cleveland","North East","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," - "
"44","2015/16","E23000013","Cleveland","North East","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"45","2015/16","E23000013","Cleveland","North East","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"46","2015/16","E23000013","Cleveland","North East","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"47","2015/16","E23000013","Cleveland","North East","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"48","2015/16","E23000013","Cleveland","North East","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 36 "
"49","2015/16","E23000013","Cleveland","North East","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"50","2015/16","E23000013","Cleveland","North East","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"51","2015/16","E23000002","Cumbria","North West","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"52","2015/16","E23000002","Cumbria","North West","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"53","2015/16","E23000002","Cumbria","North West","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," - "
"54","2015/16","E23000002","Cumbria","North West","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"55","2015/16","E23000002","Cumbria","North West","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"56","2015/16","E23000002","Cumbria","North West","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"57","2015/16","E23000002","Cumbria","North West","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"58","2015/16","E23000002","Cumbria","North West","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 8 "
"59","2015/16","E23000002","Cumbria","North West","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"60","2015/16","E23000002","Cumbria","North West","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"61","2015/16","E23000018","Derbyshire","East Midlands","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"62","2015/16","E23000018","Derbyshire","East Midlands","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
