"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"1","2015/16","E23000036","Avon and Somerset","South West","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"2","2015/16","E23000036","Avon and Somerset","South West","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"3","2015/16","E23000036","Avon and Somerset","South West","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 3 "
"4","2015/16","E23000036","Avon and Somerset","South West","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"5","2015/16","E23000036","Avon and Somerset","South West","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"6","2015/16","E23000036","Avon and Somerset","South West","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," 16 "
"7","2015/16","E23000036","Avon and Somerset","South West","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 8 "
"8","2015/16","E23000036","Avon and Somerset","South West","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 88 "
"9","2015/16","E23000036","Avon and Somerset","South West","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"10","2015/16","E23000036","Avon and Somerset","South West","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"11","2015/16","E23000026","Bedfordshire","Eastern","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"12","2015/16","E23000026","Bedfordshire","Eastern","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"13","2015/16","E23000026","Bedfordshire","Eastern","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"14","2015/16","E23000026","Bedfordshire","Eastern","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"15","2015/16","E23000026","Bedfordshire","Eastern","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"16","2015/16","E23000026","Bedfordshire","Eastern","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," 5 "
"17","2015/16","E23000026","Bedfordshire","Eastern","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 2 "
"18","2015/16","E23000026","Bedfordshire","Eastern","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 40 "
"19","2015/16","E23000026","Bedfordshire","Eastern","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"20","2015/16","E23000026","Bedfordshire","Eastern","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"21","2015/16","E23000023","Cambridgeshire","Eastern","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"22","2015/16","E23000023","Cambridgeshire","Eastern","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"23","2015/16","E23000023","Cambridgeshire","Eastern","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"24","2015/16","E23000023","Cambridgeshire","Eastern","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"25","2015/16","E23000023","Cambridgeshire","Eastern","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"26","2015/16","E23000023","Cambridgeshire","Eastern","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," 3 "
"27","2015/16","E23000023","Cambridgeshire","Eastern","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 5 "
"28","2015/16","E23000023","Cambridgeshire","Eastern","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 38 "
"29","2015/16","E23000023","Cambridgeshire","Eastern","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"30","2015/16","E23000023","Cambridgeshire","Eastern","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"31","2015/16","E23000006","Cheshire","North West","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"32","2015/16","E23000006","Cheshire","North West","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"33","2015/16","E23000006","Cheshire","North West","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"34","2015/16","E23000006","Cheshire","North West","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"35","2015/16","E23000006","Cheshire","North West","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"36","2015/16","E23000006","Cheshire","North West","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"37","2015/16","E23000006","Cheshire","North West","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
