"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"1334","2018/19","E23000013","Cleveland","North East","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1335","2018/19","E23000013","Cleveland","North East","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1336","2018/19","E23000013","Cleveland","North East","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," 2 "
"1337","2018/19","E23000013","Cleveland","North East","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 2 "
"1338","2018/19","E23000013","Cleveland","North East","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 18 "
"1339","2018/19","E23000013","Cleveland","North East","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1340","2018/19","E23000013","Cleveland","North East","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1341","2018/19","E23000002","Cumbria","North West","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1342","2018/19","E23000002","Cumbria","North West","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1343","2018/19","E23000002","Cumbria","North West","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"1344","2018/19","E23000002","Cumbria","North West","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1345","2018/19","E23000002","Cumbria","North West","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1346","2018/19","E23000002","Cumbria","North West","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1347","2018/19","E23000002","Cumbria","North West","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1348","2018/19","E23000002","Cumbria","North West","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 2 "
"1349","2018/19","E23000002","Cumbria","North West","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1350","2018/19","E23000002","Cumbria","North West","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1351","2018/19","E23000018","Derbyshire","East Midlands","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1352","2018/19","E23000018","Derbyshire","East Midlands","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1353","2018/19","E23000018","Derbyshire","East Midlands","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"1354","2018/19","E23000018","Derbyshire","East Midlands","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1355","2018/19","E23000018","Derbyshire","East Midlands","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1356","2018/19","E23000018","Derbyshire","East Midlands","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1357","2018/19","E23000018","Derbyshire","East Midlands","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 5 "
"1358","2018/19","E23000018","Derbyshire","East Midlands","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 28 "
"1359","2018/19","E23000018","Derbyshire","East Midlands","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1360","2018/19","E23000018","Derbyshire","East Midlands","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1361","2018/19","E23000035","Devon and Cornwall","South West","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1362","2018/19","E23000035","Devon and Cornwall","South West","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1363","2018/19","E23000035","Devon and Cornwall","South West","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"1364","2018/19","E23000035","Devon and Cornwall","South West","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1365","2018/19","E23000035","Devon and Cornwall","South West","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1366","2018/19","E23000035","Devon and Cornwall","South West","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1367","2018/19","E23000035","Devon and Cornwall","South West","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 1 "
"1368","2018/19","E23000035","Devon and Cornwall","South West","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 15 "
