"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"861","2017/18","E23000036","Avon and Somerset","South West","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"862","2017/18","E23000036","Avon and Somerset","South West","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"863","2017/18","E23000036","Avon and Somerset","South West","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"864","2017/18","E23000036","Avon and Somerset","South West","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"865","2017/18","E23000036","Avon and Somerset","South West","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"866","2017/18","E23000036","Avon and Somerset","South West","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," 5 "
"867","2017/18","E23000036","Avon and Somerset","South West","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 6 "
"868","2017/18","E23000036","Avon and Somerset","South West","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 55 "
"869","2017/18","E23000036","Avon and Somerset","South West","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"870","2017/18","E23000036","Avon and Somerset","South West","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"871","2017/18","E23000026","Bedfordshire","Eastern","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"872","2017/18","E23000026","Bedfordshire","Eastern","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"873","2017/18","E23000026","Bedfordshire","Eastern","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"874","2017/18","E23000026","Bedfordshire","Eastern","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"875","2017/18","E23000026","Bedfordshire","Eastern","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"876","2017/18","E23000026","Bedfordshire","Eastern","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," 7 "
"877","2017/18","E23000026","Bedfordshire","Eastern","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 3 "
"878","2017/18","E23000026","Bedfordshire","Eastern","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 38 "
"879","2017/18","E23000026","Bedfordshire","Eastern","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"880","2017/18","E23000026","Bedfordshire","Eastern","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," 1 "
"881","2017/18","E23000023","Cambridgeshire","Eastern","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"882","2017/18","E23000023","Cambridgeshire","Eastern","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
