"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"1721","2019/20","E23000036","Avon and Somerset","South West","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1722","2019/20","E23000036","Avon and Somerset","South West","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1723","2019/20","E23000036","Avon and Somerset","South West","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 1 "
"1724","2019/20","E23000036","Avon and Somerset","South West","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1725","2019/20","E23000036","Avon and Somerset","South West","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1726","2019/20","E23000036","Avon and Somerset","South West","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," 8 "
"1727","2019/20","E23000036","Avon and Somerset","South West","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 8 "
"1728","2019/20","E23000036","Avon and Somerset","South West","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 40 "
"1729","2019/20","E23000036","Avon and Somerset","South West","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1730","2019/20","E23000036","Avon and Somerset","South West","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1731","2019/20","E23000026","Bedfordshire","Eastern","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1732","2019/20","E23000026","Bedfordshire","Eastern","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1733","2019/20","E23000026","Bedfordshire","Eastern","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"1734","2019/20","E23000026","Bedfordshire","Eastern","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1735","2019/20","E23000026","Bedfordshire","Eastern","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1736","2019/20","E23000026","Bedfordshire","Eastern","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," 1 "
"1737","2019/20","E23000026","Bedfordshire","Eastern","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 3 "
"1738","2019/20","E23000026","Bedfordshire","Eastern","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 25 "
"1739","2019/20","E23000026","Bedfordshire","Eastern","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
